x;y;dy
0.6666666666666666;2.447932632293057e-17;4.2430852691415743e-16
1.3333333333333333;1.0502046463661226e-12;1.5403006694245702e-11
2.0;7.614989872356315e-09;9.137989857191167e-08
2.6666666666666665;9.332234556760269e-06;8.710086676699675e-05
3.333333333333333;0.0019329600697364003;0.012886401161753486
3.9999999999999996;0.06766764161830623;0.270670568278189
4.666666666666666;0.4003687014584037;0.5338249261818695
5.333333333333333;0.4003687014584042;-0.5338249261818695
6.0;0.06766764161830635;-0.2706705682770094
6.666666666666667;0.0019329600697364003;-0.012886401161701444
7.333333333333334;9.332234556760235e-06;-8.71008667665817e-05
8.0;7.614989872356315e-09;-9.13798985716387e-08
8.666666666666666;1.0502046463661376e-12;-1.5403006694190165e-11
9.333333333333332;2.4479326322930918e-17;-4.243085269124318e-16
9.999999999999998;9.643749239819931e-23;-1.9287510952179604e-21
